timestamp,entity_id,volume,frequency
2026-09-04T15:12:26.586873,sensor/Current frequency,0.042561,878.7452
2026-09-04T15:12:26.638221,sensor/Current frequency,0.04098,283.6571
2026-09-04T15:12:26.699526,sensor/Current frequency,0.040285,324.5006
2026-09-04T15:12:26.743405,sensor/Current frequency,0.050237,2002.613
2026-09-04T15:12:26.793673,sensor/Current frequency,0.053635,2003.335
2026-09-04T15:12:26.843624,sensor/Current frequency,0.059692,2003.431
2026-09-04T15:12:26.907699,sensor/Current frequency,0.064418,2003.316
2026-09-04T15:12:26.950119,sensor/Current frequency,0.066837,2003.498
2026-09-04T15:12:27.010525,sensor/Current frequency,0.067632,1990.718
2026-09-04T15:12:27.056900,sensor/Current frequency,0.066196,1975.767
2026-09-04T15:12:27.121321,sensor/Current frequency,0.063449,1998.724
2026-09-04T15:12:27.165963,sensor/Current frequency,0.06077,2003.963
2026-09-04T15:12:27.220005,sensor/Current frequency,0.059411,473.8508
2026-09-04T15:12:27.270038,sensor/Current frequency,0.056808,2001.492
2026-09-04T15:12:27.323140,sensor/Current frequency,0.0,1397.845
2026-09-04T15:12:27.377465,sensor/Current frequency,0.0,379.7976
2026-09-04T15:12:27.434027,sensor/Current frequency,0.0,1045.885
2026-09-04T15:12:27.490336,sensor/Current frequency,0.0,197.0052
2026-09-04T15:12:27.539742,sensor/Current frequency,0.006299,1514.974
2026-09-04T15:12:27.595404,sensor/Current frequency,0.009445,497.2842
2026-09-04T15:12:27.650545,sensor/Current frequency,0.010301,161.1326
2026-09-04T15:12:27.703149,sensor/Current frequency,0.016922,2017.294
2026-09-04T15:12:27.760993,sensor/Current frequency,0.030062,2002.631
2026-09-04T15:12:27.818896,sensor/Current frequency,0.044486,2003.073
2026-09-04T15:12:27.868419,sensor/Current frequency,0.053391,2003.467
2026-09-04T15:12:27.912229,sensor/Current frequency,0.056563,2003.358
2026-09-04T15:12:27.970082,sensor/Current frequency,0.061122,2024.37
2026-09-04T15:12:28.029718,sensor/Current frequency,0.060388,2005.559
2026-09-04T15:12:28.072728,sensor/Current frequency,0.058084,2011.391
