timestamp,entity_id,volume,frequency
2026-09-04T15:06:45.225285,sensor/Current frequency,0.0,258.494
2026-09-04T15:06:45.284716,sensor/Current frequency,0.0,262.5265
2026-09-04T15:06:45.334335,sensor/Current frequency,0.008959,3509.821
2026-09-04T15:06:45.389528,sensor/Current frequency,0.012836,3510.74
2026-09-04T15:06:45.438079,sensor/Current frequency,0.01433,3510.949
2026-09-04T15:06:45.502815,sensor/Current frequency,0.016208,3510.295
2026-09-04T15:06:45.545230,sensor/Current frequency,0.017362,3510.688
2026-09-04T15:06:45.597847,sensor/Current frequency,0.018847,3510.269
2026-09-04T15:06:45.658641,sensor/Current frequency,0.019654,3510.745
2026-09-04T15:06:45.706809,sensor/Current frequency,0.021222,3508.937
2026-09-04T15:06:45.765055,sensor/Current frequency,0.021763,3511.271
2026-09-04T15:06:45.810212,sensor/Current frequency,0.023061,3510.939
2026-09-04T15:06:45.869391,sensor/Current frequency,0.024412,3510.922
2026-09-04T15:06:45.918516,sensor/Current frequency,0.024921,3510.17
2026-09-04T15:06:45.970284,sensor/Current frequency,0.025667,3510.999
2026-09-04T15:06:46.031890,sensor/Current frequency,0.02615,3509.856
2026-09-04T15:06:46.078360,sensor/Current frequency,0.026966,3510.428
2026-09-04T15:06:46.138001,sensor/Current frequency,0.027252,3511.101
2026-09-04T15:06:46.183557,sensor/Current frequency,0.027827,3511.043
2026-09-04T15:06:46.241980,sensor/Current frequency,0.02839,3510.887
2026-09-04T15:06:46.289423,sensor/Current frequency,0.028646,3510.898
2026-09-04T15:06:46.344339,sensor/Current frequency,0.029439,318.3603
2026-09-04T15:06:46.396083,sensor/Current frequency,0.0,265.6988
2026-09-04T15:06:46.451430,sensor/Current frequency,0.0,97.90967
2026-09-04T15:06:46.512346,sensor/Current frequency,0.0,85.31923
2026-09-04T15:06:46.556188,sensor/Current frequency,0.0,97.2795
2026-09-04T15:06:46.616912,sensor/Current frequency,0.0,216.064
2026-09-04T15:06:46.666900,sensor/Current frequency,0.0,110.5151
2026-09-04T15:06:46.723299,sensor/Current frequency,0.0,350.0645
2026-09-04T15:06:46.769345,sensor/Current frequency,0.012228,980.2863
2026-09-04T15:06:46.824592,sensor/Current frequency,0.014545,299.1781
2026-09-04T15:06:46.876727,sensor/Current frequency,0.014705,250.1995
2026-09-04T15:06:46.932861,sensor/Current frequency,0.0,167.6699
2026-09-04T15:06:46.990399,sensor/Current frequency,0.0,195.3386
2026-09-04T15:06:47.036243,sensor/Current frequency,0.0,272.7756
2026-09-04T15:06:47.095871,sensor/Current frequency,0.0,91.81155
2026-09-04T15:06:47.144703,sensor/Current frequency,0.0,259.5348
2026-09-04T15:06:47.197881,sensor/Current frequency,0.0,158.7502
2026-09-04T15:06:47.249284,sensor/Current frequency,0.011254,3757.807
2026-09-04T15:06:47.304252,sensor/Current frequency,0.012769,3510.217
2026-09-04T15:06:47.366868,sensor/Current frequency,0.015768,3509.336
2026-09-04T15:06:47.409218,sensor/Current frequency,0.016972,3510.589
2026-09-04T15:06:47.474255,sensor/Current frequency,0.019008,3509.147
2026-09-04T15:06:47.517611,sensor/Current frequency,0.019877,3509.744
2026-09-04T15:06:47.573351,sensor/Current frequency,0.021812,3510.41
2026-09-04T15:06:47.624451,sensor/Current frequency,0.022967,3510.661
2026-09-04T15:06:47.681669,sensor/Current frequency,0.023645,3509.983
2026-09-04T15:06:47.734194,sensor/Current frequency,0.024978,3511.352
2026-09-04T15:06:47.785157,sensor/Current frequency,0.025688,3510.93
2026-09-04T15:06:47.841924,sensor/Current frequency,0.026731,3509.505
2026-09-04T15:06:47.890090,sensor/Current frequency,0.027369,3509.696
2026-09-04T15:06:47.948873,sensor/Current frequency,0.027687,3510.298
2026-09-04T15:06:47.996682,sensor/Current frequency,0.028739,3509.974
2026-09-04T15:06:48.051685,sensor/Current frequency,0.029238,3510.527
2026-09-04T15:06:48.117413,sensor/Current frequency,0.030185,3510.554
2026-09-04T15:06:48.159755,sensor/Current frequency,0.03151,3504.456
2026-09-04T15:06:48.217001,sensor/Current frequency,0.03169,3511.552
2026-09-04T15:06:48.265548,sensor/Current frequency,0.031971,3511.251
2026-09-04T15:06:48.325596,sensor/Current frequency,0.032079,3510.225
2026-09-04T15:06:48.369861,sensor/Current frequency,0.0,59.94799
2026-09-04T15:06:48.427779,sensor/Current frequency,0.0,282.9603
2026-09-04T15:06:48.475122,sensor/Current frequency,0.0,112.1215
2026-09-04T15:06:48.531704,sensor/Current frequency,0.0,221.2994
2026-09-04T15:06:48.590519,sensor/Current frequency,0.0,295.2464
2026-09-04T15:06:48.635361,sensor/Current frequency,0.0,214.1131
2026-09-04T15:06:48.698296,sensor/Current frequency,0.0,671.1841
2026-09-04T15:06:48.743240,sensor/Current frequency,0.0,205.7135
2026-09-04T15:06:48.801775,sensor/Current frequency,0.0,356.0823
2026-09-04T15:06:48.846145,sensor/Current frequency,0.0,234.1429
2026-09-04T15:06:48.904505,sensor/Current frequency,0.0,195.2532
2026-09-04T15:06:48.954185,sensor/Current frequency,0.0,298.0589
2026-09-04T15:06:49.011903,sensor/Current frequency,0.0,335.0763
2026-09-04T15:06:49.061328,sensor/Current frequency,0.006299,351.5609
2026-09-04T15:06:49.116759,sensor/Current frequency,0.008964,287.9358
2026-09-04T15:06:49.171305,sensor/Current frequency,0.0,312.1121
2026-09-04T15:06:49.221637,sensor/Current frequency,0.0,213.9772
2026-09-04T15:06:49.276375,sensor/Current frequency,0.007203,3511.415
2026-09-04T15:06:49.326045,sensor/Current frequency,0.010058,3511.059
2026-09-04T15:06:49.387378,sensor/Current frequency,0.014602,3509.442
2026-09-04T15:06:49.435417,sensor/Current frequency,0.016236,3510.248
2026-09-04T15:06:49.486302,sensor/Current frequency,0.018574,3509.032
2026-09-04T15:06:49.550590,sensor/Current frequency,0.020382,3510.421
2026-09-04T15:06:49.596162,sensor/Current frequency,0.020987,3510.763
2026-09-04T15:06:49.658606,sensor/Current frequency,0.022392,3509.603
2026-09-04T15:06:49.703517,sensor/Current frequency,0.023115,3511.682
2026-09-04T15:06:49.757572,sensor/Current frequency,0.024579,3511.249
2026-09-04T15:06:49.817930,sensor/Current frequency,0.02531,3511.109
2026-09-04T15:06:49.867132,sensor/Current frequency,0.025877,3509.877
2026-09-04T15:06:49.926928,sensor/Current frequency,0.026904,3510.083
2026-09-04T15:06:49.969071,sensor/Current frequency,0.02725,3510.169
2026-09-04T15:06:50.030684,sensor/Current frequency,0.027986,3509.821
2026-09-04T15:06:50.076479,sensor/Current frequency,0.028158,3510.27
2026-09-04T15:06:50.131701,sensor/Current frequency,0.028892,3510.074
2026-09-04T15:06:50.203884,sensor/Current frequency,0.029634,3510.309
2026-09-04T15:06:50.242285,sensor/Current frequency,0.030074,3510.768
2026-09-04T15:06:50.288400,sensor/Current frequency,0.030915,3510.077
2026-09-04T15:06:50.343576,sensor/Current frequency,0.0,354.8309
2026-09-04T15:06:50.399660,sensor/Current frequency,0.0,307.5876
2026-09-04T15:06:50.449958,sensor/Current frequency,0.0,291.9006
2026-09-04T15:06:50.500691,sensor/Current frequency,0.0,353.719
